,reviews,stars
0,Это нам так не повезло? Почему пупырки не фиксируюся?? Возврат можно оформить?,1
1,"Напиши нам в вопросах свой контакт, мы компенсируем брак.",1
2,Подделка. Ужас. Не берите!!!,1
3,"Инна, наш товар продан более 15000 раз! Мы реализуем исключительно качественный товар!",1
4,Не положили подарок. Не стал бы выкупать . Не я забирал.,1
5,"Здравствуйте, Степан. Подарок вкладывается в каждый поп ит, нам неизвестны причины его пропажи.",1
6,Не было подарка,1
7,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины их пропажи.",1
8,Очень плохое качество! Ребёнку не понравилось.,1
9,"Вообще разочаровали,брали два раза первый кликает с одной только стороны и без веревочки,второй пришел рваный.в комплекте еще шёл карабин и симпл-димпл-спинер. Если есть возможность обменять.. ребенок забирал и не обратила внимание",1
10,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",1
11,"Ну самое главное, что поп ит должен ""чпокать"" в обе стороны, а тут только в одну сторону, это самый главный минус. Подарок розовый(у меня сын) , жалко что нельзя выбирать, но к нему притензий нет.. И конечно нет штуки на которую цеплять попит и подарок..",1
12,Абсолютно все поп ит щёлкают в одну сторону более сильнее чем в другую! Карабин идёт в комплекте.,1
13,"Спасибо уроды за то, что я заказывала в подарок, отдавать сегодня, а пришло совсем не то, что заказывали. Осталась без подарка. Испортили настроение капитально!!!!",1
14,"С точки зрения парадоксального и астрального мышления ваша черепная коробка не соответствует мировым стандартам, поэтому считаю дальнейший разговор с вами нецелесообразным.",1
15,"Качество плохое, щёлкает в одну сторону только, подарка небыло",1
16,Благодарим за внимание к нашей карточке :),1
17,"Пришел поп ит без подарка! Надорвана упаковка. Думаю подарок там когда-то был... Выкупила, т.к. ребенок неделю ждал этот поп ит и подарочек. Неприятный осадок...",1
18,"Подарки и карабин вкладываются в каждый поп ит, нам неизвестны причины его пропажи :( Сожалеем о сложившейся ситуации.",1
19,"Ужасная очередь, один работник на пункт самовывоза, которой даже вздохнуть некогда",1
20,"Пункт выдачи оценивается во вкладке ДОСТАВКИ! :) Там наверняка решат ваш проблему, увы мы никакого отношения к пункту выдачи не имеем!",1
21,Девушка сотрудник хамит очень грубая,1
22,"Пункт выдачи оценивается в другом месте, тут только качество товара!",1
23,"Мне пришёл бракованный, сбоку порезанный, кто-то пытался заклеить, частички клея остались. Жаль я не посмотрела при получении. Заметил уже дома ребёнок 🤷‍♀️",2
24,"Здравствуйте. К сожалению без фото мы не можем определить брак, возможно это был не наш товар! Вы можете его сдать даже после получения, оформив при этом возврат после оплаты по браку в личном кабинете. Мы его утилизируем!",2
25,Быстро порвался (,2
26,"Не такой уж огромный, есть запах специфический",2
27,Нет подарка. Цена за неделю упала на 100 руб. Взяли больше. Врут,2
28,Подарок висит на самом круге ( карабин) на вашем же фото! :))),2
29,Китайская подделка и никакого подарка в помине не положили( просто разочарование,2
30,Очень долгая доставка,2
31,"Заказывала сердечко,пришел круг.забрала,только из-за того,что ребёнок очень ждал.Следите лучше за тем,что отправляете.",2
32,В одном месте дырявый!!!!,2
33,"Здравствуйте. Каждая позиция проверяется перед отправкой, к сожалению БЕЗ ФОТО мы не может оценить брак! Всего вам доброго!",2
34,Товар был бракован,2
35,"Очень тонкий:((( разочарование. Ещё и блеклый. Есть с чем сравнить, не первый уже покупаем. Не рекомендую.",2
36,"Мы заменили все пупырки на те, что на втором фото. Хороших покупок.",2
37,"Ну давайте начнём с того что он 19 см, а не 20, очень тонкий, разочарованы и я и ребёнок. Так долго ждать и в итоге получить слёзы вместо радости, когда вы товары для детей продаёте, вы хотя бы о чувствах этих самых детей думайте.",3
38,Пришёл порванный и где брелок тоже(,3
39,"Здравствуйте ! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
40,"Качество ужасное, судя по тому, что дети не выпустят игрушку из рук, то жить ей не долго, не стоит этих денег.",3
41,"Здравствуйте. Вам попался брак, сдайте пожалуйста его , оформив брак после оплаты в личном кабинете. Мы подтверждаем каждый факт брака и возвращаем деньги. Либо напишите нам как с вами связаться в вопросах.",3
42,Пришел поправленный!,3
43,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
44,"Привезли брак, полное разочарование! Одну звезду накинул за подарок: спинер - симпл-димпл.",3
