,reviews,stars
0,"Хорошая лягушка, ребёнок доволен.",5
1,"Не такой уж он и огромный,конечно🙂ну да ладно,не страшно.Без постороннего запаха,пока не красится,дальше будет видно.Ребенок доволен.В подарок прислали симпл-димпл спинер,приятно,спасибо,радости у дочки стало ещё больше 😁",5
2,"Большой, в подарок спинер сидел димпл.",5
3,"Ребенок доволен, спасибо за подарок",5
4,Соответствует описанию,5
5,"Яркий, красивый. Достаточно большой. Подарок тоже пришёл. Спасибо.",5
6,Классный. И спинер прикольный,5
7,Клевый 😃 Всей семье по вкусу,5
8,Хорошо спасибо,5
9,"Класс, ребёнок даволен",5
10,"Хороший, плотный силикон. Без постороннего запаха. Ребёнок в восторге от подарка",5
11,Спасибо за поп ит и за подарок) Дочь счастлива)),5
12,Хороший попит),5
13,"Ребёнок ооочень доволен, спасибо большое.",5
14,Все целое ! Спасибо за подарок),5
15,Качество хорошее. Без неприятного запаха. Подарок приятный ) спасибо,5
16,Всё хорошо,5
17,Ребёнку понравилось!,5
18,Клёвая игрушка спасибо за подарок.,5
19,"Хороший попИТ, ребёнку понравился. Кликает отлично 👌👍",5
20,"Отличный поп ит, дочка в восторге!",5
21,"Очень качественный силикон, дочь довольна)))",5
22,"Спасибо большое производителю и Вб! Поп ит большой, яркий, ребёнок очень доволен! Отдельное спасибо за подарочек, очень приятно! Однозначно рекомендуем к покупке!",5
23,"Все отлично, соответствует",5
24,"Отличный Pop IT , щёлкает отлично, красивый цвет радужный, дочка счастлива😘👌и бонусом подарочек👌Рекомендую к покупке!👍",5
25,"Всё, как в описаниии. Ребёнок доволен.",5
26,"По качеству нормальная, пришла с подарком.",5
27,"Игрушка супер, ребёнок доволен. И спасибо за подарок. Симпл Димпл ещё и светится в темноте)",5
28,"Хороший,яркий!Ребенок в восторге,спасибо,ещё и положили в подарок Симпл Димпл,спасибо!!!",5
29,Отличный товар!!! Спасибо за подарок👍,5
30,"Товар на высшем уровне, все отлично, ещё и подарок, супер",5
31,Быстрая доставка. Все супер. Ребёнок доволен. Спасибо за подарок 🎁,5
32,Очень качественный!!!! Большой! Дети довольны,5
33,Хороший попит,5
34,Ребёнок счастлив и очень порадовал подарочек в виде спинера. Рекомендую к покупке,5
35,Отлично! В подарок симпл-димпл. Ребенка разорвало от счастья!,5
36,Все супер) с подарком) спасибо),5
37,Отличный подарок. Внуча довольна. Спасибо WB,5
38,"Клацкает отлично, подарочек еще был супер",5
39,"Классный поп ит , яркий , качество хорошее . Отдельное спасибо за подарок 🎁",5
40,Отличный поп ит. Подарок порадовал ребёнка ещё больше ❤️,5
41,"Хорошая, подарок положили.",5
42,Очень классная сова! Ребёнку понравилась. Отдельное спасибо за подарок),5
43,Ребенку понравилось,5
44,Классная игрушка. Ребёнку понравилось.,5
45,Все отлично,5
46,Товаром довольны. Думаем ещё заказывать,5
